,actual,forecast
2017-12-08,39.70351791381836,
2017-12-09,39.70351791381836,
2017-12-10,39.70351791381836,
2017-12-11,40.47710418701172,
2017-12-12,40.24971389770508,
2017-12-13,40.38334655761719,
2017-12-14,40.37162780761719,
2017-12-15,40.78184127807617,
2017-12-16,40.78184127807617,
2017-12-17,40.78184127807617,
2017-12-18,41.356178283691406,
2017-12-19,40.915470123291016,
2017-12-20,40.87092208862305,
2017-12-21,41.025638580322266,
2017-12-22,41.025638580322266,
2017-12-23,41.025638580322266,
2017-12-24,41.025638580322266,
2017-12-25,41.025638580322266,
2017-12-26,39.98483276367188,
2017-12-27,39.99186706542969,
2017-12-28,40.10438537597656,
2017-12-29,39.67071914672852,
2017-12-30,39.67071914672852,
2017-12-31,39.67071914672852,
2018-01-01,39.67071914672852,
2018-01-02,40.380985260009766,
2018-01-03,40.37395858764648,
2018-01-04,40.56150436401367,
2018-01-05,41.02329635620117,
2018-01-06,41.02329635620117,
2018-01-07,41.02329635620117,
2018-01-08,40.87092208862305,
2018-01-09,40.866241455078125,
2018-01-10,40.85686492919922,
2018-01-11,41.08894729614258,
2018-01-12,41.51324081420898,
2018-01-13,41.51324081420898,
2018-01-14,41.51324081420898,
2018-01-15,41.51324081420898,
2018-01-16,41.30228042602539,
2018-01-17,41.98442077636719,
2018-01-18,42.02191925048828,
2018-01-19,41.83439254760742,
2018-01-20,41.83439254760742,
2018-01-21,41.83439254760742,
2018-01-22,41.49214172363281,
2018-01-23,41.50151824951172,
2018-01-24,40.8404655456543,
2018-01-25,40.11140060424805,
2018-01-26,40.20518112182617,
2018-01-27,40.20518112182617,
2018-01-28,40.20518112182617,
2018-01-29,39.37299346923828,
2018-01-30,39.14091110229492,
2018-01-31,39.24874496459961,
2018-02-01,39.33079147338867,
2018-02-02,37.62422943115234,
2018-02-03,37.62422943115234,
2018-02-04,37.62422943115234,
2018-02-05,36.684207916259766,
2018-02-06,38.21731948852539,
2018-02-07,37.399173736572266,
2018-02-08,36.37008666992188,
2018-02-09,36.814937591552734,
2018-02-10,36.814937591552734,
2018-02-11,36.814937591552734,
2018-02-12,38.297813415527344,
2018-02-13,38.68146514892578,
2018-02-14,39.3946533203125,
2018-02-15,40.71746063232422,
2018-02-16,40.58563232421875,
2018-02-17,40.58563232421875,
2018-02-18,40.58563232421875,
2018-02-19,40.58563232421875,
2018-02-20,40.44913482666016,
2018-02-21,40.26554870605469,
2018-02-22,40.60212326049805,
2018-02-23,41.30825805664063,
2018-02-24,41.30825805664063,
2018-02-25,41.30825805664063,
2018-02-26,42.124996185302734,
2018-02-27,41.98847961425781,
2018-02-28,41.92493438720703,
2018-03-01,41.19055938720703,
2018-03-02,41.47537612915039,
2018-03-03,41.47537612915039,
2018-03-04,41.47537612915039,
2018-03-05,41.61895751953125,
2018-03-06,41.58363723754883,
2018-03-07,41.1976203918457,
2018-03-08,41.64719009399414,
2018-03-09,42.36271667480469,
2018-03-10,42.36271667480469,
2018-03-11,42.36271667480469,
2018-03-12,42.77228546142578,
2018-03-13,42.36037063598633,
2018-03-14,42.00025177001953,
2018-03-15,42.0496826171875,
2018-03-16,41.90139389038086,
2018-03-17,41.90139389038086,
2018-03-18,41.90139389038086,
2018-03-19,41.26117706298828,
2018-03-20,41.24706268310547,
2018-03-21,40.31261444091797,
2018-03-22,39.74300765991211,
2018-03-23,38.82269287109375,
2018-03-24,38.82269287109375,
2018-03-25,38.82269287109375,
2018-03-26,40.66567993164063,
2018-03-27,39.62295913696289,
2018-03-28,39.18516540527344,
2018-03-29,39.49114990234375,
2018-03-30,39.49114990234375,
2018-03-31,39.49114990234375,
2018-04-01,39.49114990234375,
2018-04-02,39.23224258422852,
2018-04-03,39.63473892211914,
2018-04-04,40.39264678955078,
2018-04-05,40.672733306884766,
2018-04-06,39.63238143920898,
2018-04-07,39.63238143920898,
2018-04-08,39.63238143920898,
2018-04-09,40.02545928955078,
2018-04-10,40.778656005859375,
2018-04-11,40.5880012512207,
2018-04-12,40.98813247680664,
2018-04-13,41.12700653076172,
2018-04-14,41.12700653076172,
2018-04-15,41.12700653076172,
2018-04-16,41.38356018066406,
2018-04-17,41.95318222045898,
2018-04-18,41.85902404785156,
2018-04-19,40.672733306884766,
2018-04-20,39.00627899169922,
2018-04-21,39.00627899169922,
2018-04-22,39.00627899169922,
2018-04-23,38.89330673217773,
2018-04-24,38.35194396972656,
2018-04-25,38.5190544128418,
2018-04-26,38.65322113037109,
2018-04-27,38.20601272583008,
2018-04-28,38.20601272583008,
2018-04-29,38.20601272583008,
2018-04-30,38.89801788330078,
2018-05-01,39.80186462402344,
2018-05-02,41.560096740722656,
2018-05-03,41.63542938232422,
2018-05-04,43.2689208984375,
2018-05-05,43.2689208984375,
2018-05-06,43.2689208984375,
2018-05-07,43.58196640014648,
2018-05-08,43.79145431518555,
2018-05-09,44.09978485107422,
2018-05-10,44.730587005615234,
2018-05-11,44.56047439575195,
2018-05-12,44.56047439575195,
2018-05-13,44.56047439575195,
2018-05-14,44.45650863647461,
2018-05-15,44.05246353149414,
2018-05-16,44.46359252929688,
2018-05-17,44.18241882324219,
2018-05-18,44.02175521850586,
2018-05-19,44.02175521850586,
2018-05-20,44.02175521850586,
2018-05-21,44.33363723754883,
2018-05-22,44.22257995605469,
2018-05-23,44.506126403808594,
2018-05-24,44.45650863647461,
2018-05-25,44.55809783935547,
2018-05-26,44.55809783935547,
2018-05-27,44.55809783935547,
2018-05-28,44.55809783935547,
2018-05-29,44.39742660522461,
2018-05-30,44.302921295166016,
2018-05-31,44.15406799316406,
2018-06-01,44.95033645629883,
2018-06-02,44.95033645629883,
2018-06-03,44.95033645629883,
2018-06-04,45.32602691650391,
2018-06-05,45.675724029541016,
2018-06-06,45.83404159545898,
2018-06-07,45.71116638183594,
2018-06-08,45.29531097412109,
2018-06-09,45.29531097412109,
2018-06-10,45.29531097412109,
2018-06-11,45.18424987792969,
2018-06-12,45.43234634399414,
2018-06-13,45.05902862548828,
2018-06-14,45.08264923095703,
2018-06-15,44.61954498291016,
