,actual,forecast
2016-06-25,21.322629928588867,
2016-06-26,21.322629928588867,
2016-06-27,21.01215171813965,
2016-06-28,21.36600112915039,
2016-06-29,21.550920486450195,
2016-06-30,21.82487678527832,
2016-07-01,21.89107894897461,
2016-07-02,21.89107894897461,
2016-07-03,21.89107894897461,
2016-07-04,21.89107894897461,
2016-07-05,21.685611724853516,
2016-07-06,21.80889129638672,
2016-07-07,21.902494430541992,
2016-07-08,22.07143211364746,
2016-07-09,22.07143211364746,
2016-07-10,22.07143211364746,
2016-07-11,22.139928817749023,
2016-07-12,22.24036979675293,
2016-07-13,22.11480712890625,
2016-07-14,22.553131103515625,
2016-07-15,22.550844192504883,
2016-07-16,22.550844192504883,
2016-07-17,22.550844192504883,
2016-07-18,22.79056167602539,
2016-07-19,22.7996883392334,
2016-07-20,22.820234298706055,
2016-07-21,22.699237823486328,
2016-07-22,22.523452758789062,
2016-07-23,22.523452758789062,
2016-07-24,22.523452758789062,
2016-07-25,22.222103118896484,
2016-07-26,22.069150924682617,
2016-07-27,23.50283432006836,
2016-07-28,23.82016372680664,
2016-07-29,23.790489196777344,
2016-07-30,23.790489196777344,
2016-07-31,23.790489196777344,
2016-08-01,24.210546493530273,
2016-08-02,23.852130889892578,
2016-08-03,24.151185989379883,
2016-08-04,24.300386428833008,
2016-08-05,24.6699275970459,
2016-08-06,24.6699275970459,
2016-08-07,24.6699275970459,
2016-08-08,24.87421417236328,
2016-08-09,24.975194931030273,
2016-08-10,24.789283752441406,
2016-08-11,24.773216247558594,
2016-08-12,24.830596923828125,
2016-08-13,24.830596923828125,
2016-08-14,24.830596923828125,
2016-08-15,25.128990173339844,
2016-08-16,25.106033325195312,
2016-08-17,25.06930923461914,
2016-08-18,25.037172317504883,
2016-08-19,25.101444244384766,
2016-08-20,25.101444244384766,
2016-08-21,25.101444244384766,
2016-08-22,24.906339645385742,
2016-08-23,24.984386444091797,
2016-08-24,24.796173095703125,
2016-08-25,24.690584182739258,
2016-08-26,24.54598617553711,
2016-08-27,24.54598617553711,
2016-08-28,24.54598617553711,
2016-08-29,24.518436431884766,
2016-08-30,24.33022117614746,
2016-08-31,24.353168487548828,
2016-09-01,24.497777938842773,
2016-09-02,24.727306365966797,
2016-09-03,24.727306365966797,
2016-09-04,24.727306365966797,
2016-09-05,24.727306365966797,
2016-09-06,24.72042465209961,
2016-09-07,24.871917724609375,
2016-09-08,24.220041275024414,
2016-09-09,23.671470642089844,
2016-09-10,23.671470642089844,
2016-09-11,23.671470642089844,
2016-09-12,24.201684951782227,
2016-09-13,24.777803421020508,
2016-09-14,25.65460968017578,
2016-09-15,26.52682876586914,
2016-09-16,26.377634048461914,
2016-09-17,26.377634048461914,
2016-09-18,26.377634048461914,
2016-09-19,26.0700626373291,
2016-09-20,26.067764282226562,
2016-09-21,26.063180923461914,
2016-09-22,26.308778762817383,
2016-09-23,25.87036895751953,
2016-09-24,25.87036895751953,
2016-09-25,25.87036895751953,
2016-09-26,25.909395217895508,
2016-09-27,25.957592010498047,
2016-09-28,26.154985427856445,
2016-09-29,25.748722076416016,
2016-09-30,25.948413848876953,
2016-10-01,25.948413848876953,
2016-10-02,25.948413848876953,
2016-10-03,25.82676124572754,
2016-10-04,25.936931610107422,
2016-10-05,25.948413848876953,
2016-10-06,26.14122200012207,
2016-10-07,26.180238723754883,
2016-10-08,26.180238723754883,
2016-10-09,26.180238723754883,
2016-10-10,26.637001037597656,
2016-10-11,26.694387435913086,
2016-10-12,26.933095932006836,
2016-10-13,26.8504638671875,
2016-10-14,26.999658584594727,
2016-10-15,26.999658584594727,
2016-10-16,26.999658584594727,
2016-10-17,26.981304168701172,
2016-10-18,26.962932586669922,
2016-10-19,26.882604598999023,
2016-10-20,26.86882781982422,
2016-10-21,26.763240814208984,
2016-10-22,26.763240814208984,
2016-10-23,26.763240814208984,
2016-10-24,27.004253387451172,
2016-10-25,27.1419620513916,
2016-10-26,26.531421661376953,
2016-10-27,26.276643753051758,
2016-10-28,26.102195739746094,
2016-10-29,26.102195739746094,
2016-10-30,26.102195739746094,
2016-10-31,26.060882568359375,
2016-11-01,25.590343475341797,
2016-11-02,25.613290786743164,
2016-11-03,25.338748931884766,
2016-11-04,25.110353469848633,
2016-11-05,25.110353469848633,
2016-11-06,25.110353469848633,
2016-11-07,25.472566604614258,
2016-11-08,25.622526168823242,
2016-11-09,25.58099937438965,
2016-11-10,24.868112564086914,
2016-11-11,25.01576042175293,
2016-11-12,25.01576042175293,
2016-11-13,25.01576042175293,
2016-11-14,24.388233184814453,
2016-11-15,24.711227416992188,
2016-11-16,25.37566375732422,
2016-11-17,25.366439819335938,
2016-11-18,25.39181900024414,
2016-11-19,25.39181900024414,
2016-11-20,25.39181900024414,
2016-11-21,25.7771053314209,
2016-11-22,25.793249130249023,
2016-11-23,25.6617374420166,
2016-11-24,25.6617374420166,
2016-11-25,25.790943145751953,
2016-11-26,25.790943145751953,
2016-11-27,25.790943145751953,
2016-11-28,25.740188598632812,
2016-11-29,25.714811325073242,
2016-11-30,25.497941970825195,
2016-12-01,25.26031494140625,
2016-12-02,25.354904174804688,
2016-12-03,25.354904174804688,
2016-12-04,25.354904174804688,
2016-12-05,25.17264747619629,
2016-12-06,25.366439819335938,
2016-12-07,25.615602493286133,
2016-12-08,25.867074966430664,
2016-12-09,26.289278030395508,
2016-12-10,26.289278030395508,
2016-12-11,26.289278030395508,
2016-12-12,26.13931655883789,
2016-12-13,26.57535743713379,
2016-12-14,26.57535743713379,
2016-12-15,26.7206974029541,
2016-12-16,26.755308151245117,
2016-12-17,26.755308151245117,
2016-12-18,26.755308151245117,
2016-12-19,26.909881591796875,
2016-12-20,26.981403350830078,
2016-12-21,27.006778717041016,
